date,symbol,company_name,sector,year,month,quarter,day_of_week,open,high,low,close,volume,daily_change,daily_change_pct,daily_range
2025-10-27 00:00:00,AAPL,Apple Inc,Technology,2025,10,4,Monday,264.88,269.12,264.6501,268.81,44888152,3.93,1.48,4.47
2025-10-27 00:00:00,AMZN,Amazon Inc,Consumer Discretionary,2025,10,4,Monday,227.66,228.4,225.54,226.97,38266995,-0.69,-0.3,2.86
2025-10-27 00:00:00,GOOGL,Alphabet Inc,Communication Services,2025,10,4,Monday,264.815,270.14,264.28,269.27,35235231,4.45,1.68,5.86
2025-10-27 00:00:00,MSFT,Microsoft Corporation,Technology,2025,10,4,Monday,531.78,534.58,529.01,531.52,18734716,-0.26,-0.05,5.57
2025-10-27 00:00:00,TSLA,Tesla Inc,Consumer Discretionary,2025,10,4,Monday,439.98,460.16,438.69,452.42,105867547,12.44,2.83,21.47
2025-10-28 00:00:00,AAPL,Apple Inc,Technology,2025,10,4,Tuesday,268.985,269.89,268.15,269.0,41534759,0.01,0.0,1.74
2025-10-28 00:00:00,AMZN,Amazon Inc,Consumer Discretionary,2025,10,4,Tuesday,228.215,231.485,226.21,229.25,47100026,1.03,0.45,5.28
2025-10-28 00:00:00,GOOGL,Alphabet Inc,Communication Services,2025,10,4,Tuesday,269.69,270.73,266.5,267.47,29738564,-2.22,-0.82,4.23
2025-10-28 00:00:00,MSFT,Microsoft Corporation,Technology,2025,10,4,Tuesday,550.0,553.72,540.77,542.07,29986683,-7.93,-1.44,12.95
2025-10-28 00:00:00,TSLA,Tesla Inc,Consumer Discretionary,2025,10,4,Tuesday,454.775,467.0,451.6,460.55,80185667,5.78,1.27,15.4
2025-10-29 00:00:00,AAPL,Apple Inc,Technology,2025,10,4,Wednesday,269.275,271.41,267.11,269.7,51086742,0.43,0.16,4.3
2025-10-29 00:00:00,AMZN,Amazon Inc,Consumer Discretionary,2025,10,4,Wednesday,231.672,232.82,227.76,230.3,52036151,-1.37,-0.59,5.06
2025-10-29 00:00:00,GOOGL,Alphabet Inc,Communication Services,2025,10,4,Wednesday,267.75,275.336,267.67,274.57,43580277,6.82,2.55,7.67
2025-10-29 00:00:00,MSFT,Microsoft Corporation,Technology,2025,10,4,Wednesday,544.94,546.27,536.7287,541.55,36023004,-3.39,-0.62,9.54
2025-10-29 00:00:00,TSLA,Tesla Inc,Consumer Discretionary,2025,10,4,Wednesday,462.5,465.7,452.65,461.51,67983544,-0.99,-0.21,13.05
2025-10-30 00:00:00,AAPL,Apple Inc,Technology,2025,10,4,Thursday,271.99,274.14,268.48,271.4,69886534,-0.59,-0.22,5.66
2025-10-30 00:00:00,AMZN,Amazon Inc,Consumer Discretionary,2025,10,4,Thursday,227.06,228.44,222.75,222.86,102252937,-4.2,-1.85,5.69
2025-10-30 00:00:00,GOOGL,Alphabet Inc,Communication Services,2025,10,4,Thursday,291.59,291.59,280.06,281.48,74875990,-10.11,-3.47,11.53
2025-10-30 00:00:00,MSFT,Microsoft Corporation,Technology,2025,10,4,Thursday,530.48,534.97,522.12,525.76,41023088,-4.72,-0.89,12.85
2025-10-30 00:00:00,TSLA,Tesla Inc,Consumer Discretionary,2025,10,4,Thursday,451.05,455.0607,439.61,440.1,72447938,-10.95,-2.43,15.45
2025-10-31 00:00:00,AAPL,Apple Inc,Technology,2025,10,4,Friday,276.99,277.32,269.16,270.37,86167123,-6.62,-2.39,8.16
2025-10-31 00:00:00,AMZN,Amazon Inc,Consumer Discretionary,2025,10,4,Friday,250.1,250.5,243.98,244.22,166340808,-5.88,-2.35,6.52
2025-10-31 00:00:00,GOOGL,Alphabet Inc,Communication Services,2025,10,4,Friday,283.21,286.0,277.03,281.19,39267945,-2.02,-0.71,8.97
2025-10-31 00:00:00,MSFT,Microsoft Corporation,Technology,2025,10,4,Friday,528.875,529.32,515.1,517.81,34006424,-11.07,-2.09,14.22
2025-10-31 00:00:00,TSLA,Tesla Inc,Consumer Discretionary,2025,10,4,Friday,446.75,458.0,443.6855,456.56,83135787,9.81,2.2,14.31
2025-11-03 00:00:00,AAPL,Apple Inc,Technology,2025,11,4,Monday,270.42,270.85,266.25,269.05,50194583,-1.37,-0.51,4.6
2025-11-03 00:00:00,AMZN,Amazon Inc,Consumer Discretionary,2025,11,4,Monday,255.36,258.6,252.9,254.0,95997816,-1.36,-0.53,5.7
2025-11-03 00:00:00,GOOGL,Alphabet Inc,Communication Services,2025,11,4,Monday,282.175,285.53,279.8,283.72,29785996,1.55,0.55,5.73
2025-11-03 00:00:00,MSFT,Microsoft Corporation,Technology,2025,11,4,Monday,519.805,524.96,514.59,517.03,22374742,-2.77,-0.53,10.37
2025-11-03 00:00:00,TSLA,Tesla Inc,Consumer Discretionary,2025,11,4,Monday,455.99,474.07,453.8,468.37,84595244,12.38,2.71,20.27
